bin_polarity,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
"(0.5, 0.55]",10.0,0.48624848249856817,0.5165139879249083,0.0,8.5,10.0,0.0,58.5,34.0,92.5,10.041666666666668
"(0.55, 0.6]",10.0,0.444517507113243,0.5825129392168777,-1.0,6.0,10.0,0.0,23.0,12.0,35.0,5.833333333333333
"(0.6, 0.65]",10.0,0.46032906958505404,0.6188789241767221,-1.0,8.0,10.0,0.0,56.0,22.0,78.0,9.0
"(0.65, 0.7]",10.0,0.4431773470415314,0.6693007152691034,1.0,8.0,10.0,0.0,59.0,13.0,72.0,9.0
"(0.7, 0.75]",10.0,0.5315203081426264,0.7225217593912763,-1.0,8.0,10.0,0.0,103.0,27.0,130.0,16.25
"(0.75, 0.8]",10.0,0.3688188686100715,0.7673935407448322,0.0,8.0,10.0,0.0,44.0,3.0,47.0,5.984126984126984
"(0.8, 0.85]",,,,,,,,,,,
"(0.85, 0.9]",,,,,,,,,,,
"(0.9, 0.95]",10.0,0.40267823411552206,0.9219771622611868,-1.0,7.0,10.0,0.0,82.0,3.0,85.0,12.142857142857142
"(0.95, 1.0]",,,,,,,,,,,
