,initialActive,attractiveness,polarity,political_inclination,roundsCounter,activeCongruentInitial,activeNonCongruentInitial,activeCongruentFinal,activeNonCongruentFinal,activeCounter,activationsPerRound
0,10,0.46749815790557425,0.6389584277968261,1,3,10,0,125,124,249,83.0
1,10,0.542377175422261,0.6047917727603818,1,2,10,0,125,124,249,124.5
2,10,0.5644185145853783,0.9279573074239811,-1,4,10,0,125,48,173,43.25
3,10,0.4659666161244975,0.887943548533773,1,3,10,0,125,64,189,63.0
4,10,0.4851406352930044,0.8204600666411717,1,4,10,0,125,105,230,57.5
5,10,0.5171205115945866,0.587958216872207,1,2,10,0,125,124,249,124.5
6,10,0.5221504568612185,0.8563707512609665,1,3,10,0,125,84,209,69.66666666666667
7,10,0.4530493150815731,0.8928978613856757,-1,4,10,0,125,66,191,47.75
8,10,0.649090863552183,0.6562219526440829,-1,3,10,0,125,125,250,83.33333333333333
9,10,0.5399211368632283,0.9477962597196466,1,3,10,0,125,30,155,51.666666666666664
10,10,0.4844244829997845,0.6130473638038532,-1,3,10,0,125,125,250,83.33333333333333
11,10,0.5038957436191251,0.7850461612595484,1,4,10,0,125,115,240,60.0
12,10,0.45835414898920956,0.6832360727196227,-1,3,10,0,125,125,250,83.33333333333333
13,10,0.38788976690580995,0.9868131358509193,-1,2,10,0,125,8,133,66.5
14,10,0.3301935478023808,0.997824200624605,-1,2,10,0,125,1,126,63.0
15,10,0.461288066788389,0.6638590533132942,-1,3,10,0,125,125,250,83.33333333333333
16,10,0.546356658277501,0.6052831909496995,-1,3,10,0,125,125,250,83.33333333333333
17,10,0.6255958779878285,0.5197419598539312,-1,2,10,0,125,125,250,125.0
18,10,0.4392497764127841,0.8499346046395773,1,3,10,0,125,84,209,69.66666666666667
19,10,0.6129660536488413,0.8896695404513953,1,3,10,0,125,67,192,64.0
20,10,0.5243925155740115,0.8243203369656408,-1,4,10,0,125,101,226,56.5
21,10,0.3974497040986744,0.9102556436530072,1,4,10,0,125,55,180,45.0
22,10,0.5399042400610349,0.6776401060449155,1,3,10,0,125,124,249,83.0
23,10,0.43909554028723574,0.7747541285172339,-1,3,10,0,125,115,240,80.0
24,10,0.5586831746832012,0.5889031377891046,-1,3,10,0,125,125,250,83.33333333333333
25,10,0.547512563363379,0.7967498892286933,1,3,10,0,125,114,239,79.66666666666667
26,10,0.5071036174718878,0.7579483220205028,1,3,10,0,125,118,243,81.0
27,10,0.5909262594428322,0.7125287325477199,-1,3,10,0,125,125,250,83.33333333333333
28,10,0.5036619630651652,0.9064631249373759,-1,3,10,0,125,59,184,61.333333333333336
29,10,0.5111126539413025,0.7283437651981652,1,3,10,0,125,123,248,82.66666666666667
30,10,0.5398821173920605,0.946705649359362,-1,3,10,0,125,31,156,52.0
31,10,0.6167008946242372,0.5493610013323262,-1,2,10,0,125,125,250,125.0
32,10,0.5257815488267716,0.5635533730557509,1,3,10,0,125,125,250,83.33333333333333
33,10,0.47203873199520135,0.9895353909762354,-1,3,10,0,125,7,132,44.0
34,10,0.4441986422089229,0.9902639142868777,-1,3,10,0,125,6,131,43.666666666666664
35,10,0.4278589084157962,0.8592372655505591,1,4,10,0,125,82,207,51.75
36,10,0.7027214544906714,0.6245374200614353,-1,3,10,0,125,125,250,83.33333333333333
37,10,0.5271942913628297,0.7062607398959082,-1,3,10,0,125,125,250,83.33333333333333
38,10,0.5189856319394065,0.7536934526547541,-1,3,10,0,125,119,244,81.33333333333333
39,10,0.597023814576041,0.677387061808165,-1,3,10,0,125,125,250,83.33333333333333
40,10,0.4826915475978108,0.7302888531332485,1,3,10,0,125,120,245,81.66666666666667
41,10,0.5630005174536361,0.897288996252256,-1,3,10,0,125,67,192,64.0
42,10,0.4982385991144681,0.7762262423476847,1,3,10,0,125,115,240,80.0
43,10,0.6727479949154425,0.8660134946449871,1,3,10,0,125,85,210,70.0
44,10,0.5152817218895237,0.7837554467215447,-1,4,10,0,125,115,240,60.0
45,10,0.5031478002643357,0.9108012590897974,-1,3,10,0,125,53,178,59.333333333333336
46,10,0.4156962509011261,0.8409641723218675,1,3,10,0,125,87,212,70.66666666666667
47,10,0.45733549243960814,0.8496851125659419,1,3,10,0,125,85,210,70.0
48,10,0.5214967903002368,0.7208453394780063,-1,3,10,0,125,123,248,82.66666666666667
49,10,0.4304782926458763,0.6890992678467656,-1,3,10,0,125,124,249,83.0
50,10,0.4947544816042788,0.6526763975226677,1,3,10,0,125,124,249,83.0
51,10,0.5190015961553084,0.6953110877874447,1,3,10,0,125,124,249,83.0
52,10,0.47974958074971424,0.7789475006379682,-1,3,10,0,125,115,240,80.0
53,10,0.46964504365925985,0.7692127253048253,1,3,10,0,125,115,240,80.0
54,10,0.4747416122172551,0.8735033499786147,-1,3,10,0,125,78,203,67.66666666666667
55,10,0.466195534652015,0.7794294847839283,1,4,10,0,125,115,240,60.0
56,10,0.349910097597122,0.5244576145426112,1,2,10,0,125,124,249,124.5
57,10,0.46328953866852884,0.6288351565239875,-1,3,10,0,125,125,250,83.33333333333333
58,10,0.562598110755255,0.5752447902096782,1,3,10,0,125,125,250,83.33333333333333
59,10,0.6848786440235284,0.9855084346021739,-1,2,10,0,125,8,133,66.5
60,10,0.5412170854297462,0.6059904140189196,1,2,10,0,125,124,249,124.5
61,10,0.49950303223032905,0.9242180225012993,1,3,10,0,125,47,172,57.333333333333336
62,10,0.3828456608488316,0.7869960397111558,1,4,10,0,125,110,235,58.75
63,10,0.5666521102284803,0.787825197334553,-1,3,10,0,125,115,240,80.0
64,10,0.41071867414170116,0.6347530948693418,-1,3,10,0,125,125,250,83.33333333333333
65,10,0.6255254827537248,0.8051071797875243,1,3,10,0,125,114,239,79.66666666666667
66,10,0.6823862329139325,0.5847482273810647,1,3,10,0,125,125,250,83.33333333333333
67,10,0.48143165476689204,0.9675381225661492,-1,3,10,0,125,13,138,46.0
68,10,0.4053631410110677,0.5484775496670303,-1,2,10,0,125,125,250,125.0
69,10,0.5259715149755282,0.9420534524922577,1,3,10,0,125,32,157,52.333333333333336
70,10,0.5747691824479563,0.6198214253017797,1,2,10,0,125,124,249,124.5
71,10,0.5937765159406866,0.9209065717241971,1,3,10,0,125,54,179,59.666666666666664
72,10,0.4098617367790135,0.9097604940613135,1,4,10,0,125,56,181,45.25
73,10,0.5371803668385845,0.6452201299662825,1,3,10,0,125,124,249,83.0
74,10,0.6606519523469357,0.8985450320958068,1,3,10,0,125,64,189,63.0
75,10,0.5552260447864567,0.5376373906373972,-1,2,10,0,125,125,250,125.0
76,10,0.49586703918348984,0.6122304712830977,1,3,10,0,125,124,249,83.0
77,10,0.4164869916366617,0.5838765089368481,1,2,10,0,125,124,249,124.5
78,10,0.4247255797472839,0.9801873803092043,1,3,10,0,125,15,140,46.666666666666664
79,10,0.49178909247543595,0.8197552417872641,1,4,10,0,125,105,230,57.5
80,10,0.47972924298459557,0.5557961484311036,1,2,10,0,125,124,249,124.5
81,10,0.47277959386075047,0.8721315619013148,1,3,10,0,125,74,199,66.33333333333333
